Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.8,33
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.7,090
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.6,8037
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.6,5421
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.6,5629
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.5,3081
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.4,39719
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.4,41323
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.4,66233
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.4,83553
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.4,30910
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.4,44197
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.4,28606
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.3,33059
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.3,55428
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.2,57206
Miền nam,Thứ 2,02-03-2020,Cà Mau,G.1,57690
Miền nam,Thứ 2,02-03-2020,Cà Mau,ĐB,836777
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.8,35
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.7,966
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.6,1547
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.6,1691
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.6,2418
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.5,8723
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.4,28232
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.4,21978
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.4,08052
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.4,87289
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.4,79163
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.4,88809
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.4,97520
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.3,54502
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.3,93919
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.2,79463
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,G.1,47410
Miền nam,Thứ 2,02-03-2020,Đồng Tháp,ĐB,776312
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.8,24
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.7,587
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.6,5123
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.6,9811
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.6,7398
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.5,1923
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.4,30770
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.4,68261
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.4,99324
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.4,95099
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.4,07795
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.4,08524
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.4,93706
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.3,93768
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.3,79400
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.2,72124
Miền nam,Thứ 2,02-03-2020,TP.HCM,G.1,12833
Miền nam,Thứ 2,02-03-2020,TP.HCM,ĐB,365329
